product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B00PZAS6K6,,,,,,,,,,,,,,,,,Glow Prenatal Vitamins for Women – 25-in-1 Vital Nutrients for Healthy Pregnancy and Fetal Development – Folic Acid & Vegan DHA For Baby's Growth & A Comfortable Pregnancy – 60 Nourishing Capsules
B08PXS6FKC,,,,,,,,,,,,,,,,,"The Honest Company Honest Mama Glow On Body + Belly Oil | Organic, Plant-Based, Hypoallergenic, Omega-Infused | 4.2 fl oz"
B08ZKS96ZF,,,,,,,,,,,,,,,,,"Honest Training Pants, Animal Abcs, 2T-3T, 26 Count"
B0BJYNDZR2,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Diapers | Plant-Based, Sustainable | Just Peachy + Flower Power | Club Box, Size 4 (22-37 lbs), 60 Count"
B07VMMJ5Y5,,,,,,,,,,,,,,,,,"Eucerin Eczema Relief Cream & Body Wash, Eczema Body Wash, Cream Body Wash, 13.5 Fl Oz Bottle"
B07LBNX3N3,,,,,,,,,,,,,,,,,"The Honest Company 2-in-1 Cleansing Shampoo + Body Wash | Gentle for Baby | Naturally Derived, Tear-free, Hypoallergenic | Sweet Almond Nourish, 10 fl oz"
B01DJYNMNA,,,,,,,,,,,,,,,,,"The Honest Company Hydrating Face + Body Lotion | Fast Absorbing, Naturally Derived, Hypoallergenic | Lavender Calm, 8.5 fl oz"
B0BJZ6W29B,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Diapers | Plant-Based, Sustainable | Wild Thang + Flower Power | Club Box, Size 3 (16-28 lbs), 68 Count"
B07ZJ1L3VK,,,,,,,,,,,,,,,,,"The Honest Company 2-in-1 Cleansing Shampoo + Body Wash | Gentle for Baby | Naturally Derived, Tear-free, Hypoallergenic | Citrus Vanilla Refresh, 10 fl oz"
B07YXNCYLW,,,,,,,,,,,,,,,,,"The Honest Company Baby Wipes - 720 Count, 72 Count (Pack of 10)"
B07G4NVGZM,,,,,,,,,,,,,,,,,"
                                    "
B08ZKQSMNB,,,,,,,,,,,,,,,,,"Honest Training Pants, Animal Abcs, 2T-3T, 26 Count"
B0BJZ9X9KL,,,,,,,,,,,,,,,,,"
                                    "
B09KL9SV91,,,,,,,,,,,,,,,,,$19.95
B00IFWO8PI,,,,,,,,,,,,,,,,,"The Honest Company Dry Baby Wipes | 100% Organic Cotton, Gentle, Disposable | 192 Count"
B08YJ18RM2,,,,,,,,,,,,,,,,,"
                                    "
B07MYB51LS,,,,,,,,,,,,,,,,,"
                                    "
B0BNPNPJ4L,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Overnight Diapers | Plant-Based, Sustainable | Sleepy Sheep | Club Box, Size 6 (35+ lbs), 42 Count"
B0BTT6J66C,,,,,,,,,,,,,,,,,"
                                    "
B00KC4GBMA,,,,,,,,,,,,,,,,,$9.99
B0BDZHP9RW,,,,,,,,,,,,,,,,,Decorate It Yourself 3 Tier Plain Diaper Cake-60 Diapers
B0C9H2F7PV,,,,,,,,,,,,,,,,,"Nolla Flushable Wipes, 100% Plant-Based, Plastic-Free and Biodegradable - For Adults and Kids - Unscented + Soothing Aloe and Vitamin E 360 Count (6 Packs of 60)"
B099R1X5YR,,,,,,,,,,,,,,,,,"The Honest Company Honest Mama Sweet Curves Moisturizing Body Lotion for Sensitive Skin | Plant-Based, Shea Butter, Avocado Oil | 8 fl oz"
B07LBNG6HM,,,,,,,,,,,,,,,,,"The Honest Company Gently Nourishing Bubble Bath, Sweet Almond"
B07JBNP98Y,,,,,,,,,,,,,,,,,How to return this item:
B08YHZ3CD9,,,,,,,,,,,,,,,,,Alta + Antibacterial Hand Wipes 90 Wipes (3) Packs
B0BYHN1CV9,,,,,,,,,,,,,,,,,"The Honest Company Hydrating Face + Body Lotion | Fast Absorbing, Naturally Derived, Hypoallergenic | Fragrance Free Sensitive, 8.5 fl oz"
B07MY95KS5,,,,,,,,,,,,,,,,,"THE HONEST COMPANY Rose Blossom Size 1 Diapers, 35 CT"
B08PXYZ2S6,,,,,,,,,,,,,,,,,$12.74
B0BN63KR9Z,,,,,,,,,,,,,,,,,"The Honest Company Baby Arrival Gift Set | Newborn Essentials Welcome Box | Diapers, Wipes, Personal Care, Diaper Rash Cream"
B08HMNZCBQ,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Diapers | Plant-Based, Sustainable | Rose Blossom + Tutu Cute | Club Box, Size 1 (8-14 lbs), 80 Count"
B084S1RVCN,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Wipes | 99% Water, Compostable, Plant-Based, Baby Wipes | Hypoallergenic, EWG Verified | Pattern Play, 720 Count"
B08VJFB93Y,,,,,,,,,,,,,,,,,$28.49
