product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url
B07SRVZHTM,2,BlenderBottle Foodie Shaker Bottle Pro Series Perfect for Protein Shakes and Pre Workout,24-Ounce,13.41,27.75,BlenderBottle,C04202,Foodie Shaker Bottle Pro Series,3.5 x 8,6.7 oz,"2,683",4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Perfect-Protein-Workout-24-Ounce/dp/B07SRVZHTM/,https://m.media-amazon.com/images/I/71H+lRT9peL.jpg
B0C7Q5N977,2,BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout,20-Ounce,19.98,,BlenderBottle,,,,,,,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-20-Ounce/dp/B0C7Q5N977/,https://m.media-amazon.com/images/I/51+-Or24zBL.jpg
B0BX8T1NW1,2,Anbige Replacement Parts Blade with 2 Gaskets,Compatible with Black&Decker Blenders BL1110BG BL1120BG BL1130SGM BL1820SGM BL1830SGM (fusion blade),10.99,,,,,3.03 x 2.83 x 2.76,2.89 oz,25,4.5 out of 5 stars,https://www.amazon.com/Anbige-Replacement-Compatible-BL1130SGM-BL1820SGM/dp/B0BX8T1NW1/,https://m.media-amazon.com/images/I/517D-rE0QxL.jpg
B0CBVXKMKS,2,KIKE Portable Blender,Personal Blender for Shakes and Smoothies with 6 Blades and 16oz,18.99,,KIKE,,,3.15D x 3.15 x 9,11.3 oz,2,2.0 out of 5 stars,https://www.amazon.com/KIKE-Portable-Smoothies-Rechargeable-Processor/dp/B0CBVXKMKS/,https://m.media-amazon.com/images/I/51es5MbqpjL.jpg
B0BZXPZ7T1,2,A L P H A Stylish & Modern Thermal,Stainless Steel Protein Shaker 750 ml,25.99,,h.amer,1,A L P H A Thermo & Protein Shaker Bottle,3 x 8,9.6 oz,1,1.0 out of 5 stars,https://www.amazon.com/Stylish-Thermal-Stainless-Protein-Leaking/dp/B0BZXPZ7T1/,https://m.media-amazon.com/images/I/61PRSzmU0oL.jpg
B0BPXG2WL1,2,Ninja Blender Replacement Parts 7 Fins Ninja Blender Blade,URSUMER Ninja Blender Parts for Ninja Blender Cups Compatible with Nurti Ninja Blenders Auto iQ BL450-30 BL642-30 BL482-30 BL682-30 ect.,14.99,15.99,URSUMER,,,4.49 x 4.25 x 3.9,8.4 oz,375,4.0 out of 5 stars,https://www.amazon.com/Replacement-URSUMER-Compatible-Blenders-BL450-30/dp/B0BPXG2WL1/,https://m.media-amazon.com/images/I/61RR97fYUqL.jpg
B0BW86RPNH,2,Asa Vea Portable Blender,Personal Size Blender for Shakes and Smoothies with 6 Blades Mini Blender 17oz/500ml for Kitchen,39.99,43.99,Asa Vea,,,4.48D x 4.52 x 11,11.6 oz,18,4.1 out of 5 stars,https://www.amazon.com/Asa-Vea-Portable-Personal-Smoothies/dp/B0BW86RPNH/,https://m.media-amazon.com/images/I/61DL9nPeARL.jpg
B0B6HN45G5,2,Sports Water Bottle with Portable Blender for Juice and Smoothies Maker USB Travel Juice Cup Personal Travel Blender Baby Food Mixing Updated 6 Blades (2),,30.00,,TEMI,,,,,,,https://www.amazon.com/Portable-Blender-Smoothies-Personal-Updated/dp/B0B6HN45G5/,https://m.media-amazon.com/images/I/71xoGRy7VAL.jpg
B0CB23VT73,2,A Small Clear Shaker Bottle w. Pink Lid(Classic Loop Hook),12OZ/400ML Measurement Marks & 3-Color(Pink,9.99,,EBAT,HE6KE,HE6KE,3.5 x 6.5,,,,https://www.amazon.com/Shaker-Bottle-Measurement-Non-Metal-Dishwasher/dp/B0CB23VT73/,https://m.media-amazon.com/images/I/81hA086LFvL.jpg
B0C83CWTTZ,2,Blender Smoothie Bottle Cup Replacement,20 oz Flipp Top to-Go Lid Sports Bottle Cup,10.19,,Qmisify,1,,,5.9 oz,,,https://www.amazon.com/Blender-Smoothie-Replacement-Leak-Proof-Portable/dp/B0C83CWTTZ/,https://m.media-amazon.com/images/I/31g0O5dM1ML.jpg
