product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B0CLJBCJT7,2,Flamingo and Leaf Laptop Sleeve Bag Notebook Computer Protective Case Briefcase Handle Bag Fits 10 Inch-17 Inch,,25.99,,No,MHXYZHW,,13.58 x 11.02 x 1.38,7.4 oz,,,https://www.amazon.com/Flamingo-Notebook-Computer-Protective-Briefcase/dp/B0CLJBCJT7/,https://m.media-amazon.com/images/I/718CFXFp8LL.jpg,EX ZAO,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3ENO4R7W1ZDRB&asin=B0CLJBCJT7&ref_=dp_merchant_link
B0CKY41DXR,2,Tropical Plants Printed Laptop Case Laptop Bag 17 inch Shockproof Protective Notebook Case Computer Bag for Women Men,,17.99,,TIBBIS,1,,16.93 x 12.99 x 0.59,6.2 oz,,,https://www.amazon.com/Tropical-Shockproof-Protective-Notebook-Computer/dp/B0CKY41DXR/,https://m.media-amazon.com/images/I/71-TeSpejHL.jpg,OO to PP,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AY7X52KK2W3HL&asin=B0CKY41DXR&ref_=dp_merchant_link
B0CLCSRX3B,2,Pink Paris Tower Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCSRX3B/,https://m.media-amazon.com/images/I/61f1ThSEGML.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCSRX3B&ref_=dp_merchant_link
B0CKY58L44,2,Love Flower Printed Laptop Case Laptop Bag 10 inch Shockproof Protective Notebook Case Computer Bag for Women Men,,14.99,,TIBBIS,1,,11.81 x 9.06 x 0.59,3.36 oz,,,https://www.amazon.com/Printed-Shockproof-Protective-Notebook-Computer/dp/B0CKY58L44/,https://m.media-amazon.com/images/I/71WzjYeJ2pL.jpg,OO to PP,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AY7X52KK2W3HL&asin=B0CKY58L44&ref_=dp_merchant_link
B0CLCR8LJ8,2,Halloween Bat Pumpkin Lightweight Laptop Bag Case 13-15 Inch Computer Briefcase Bag for Women Men Notebook Shoulder Bag,, ,,,,,,,,,https://www.amazon.com/Sunflower-Lightweight-Computer-Briefcase-Notebook/dp/B0CLCR8LJ8/,https://m.media-amazon.com/images/I/61+N0chXUQL.jpg,hldfc,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NVU1MP4HEFZT&asin=B0CLCR8LJ8&ref_=dp_merchant_link
B0CKY2HS71,2,Sea Wave Printed Laptop Case Laptop Bag 17 inch Shockproof Protective Notebook Case Computer Bag for Women Men,,17.99,,TIBBIS,1,,16.93 x 12.99 x 0.59,6.2 oz,,,https://www.amazon.com/Printed-Shockproof-Protective-Notebook-Computer/dp/B0CKY2HS71/,https://m.media-amazon.com/images/I/81higEoZu7L.jpg,OO to PP,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AY7X52KK2W3HL&asin=B0CKY2HS71&ref_=dp_merchant_link
B0CM6LFJSC,2,Panda & Bamboo Laptop Shoulder Bag Waterproof Portable Laptop Case Sleeve With Strap Messenger Briefcase For Women Men,,27.99,,,,,,,,,https://www.amazon.com/Shoulder-Waterproof-Portable-Messenger-Briefcase/dp/B0CM6N6FBY/,https://m.media-amazon.com/images/I/71S0Zh96mRL.jpg,,
B0CLCTJDFX,2,Rose Rosa Bouquets Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Bouquets-Shoulder-Briefcase-Messenger-Waterproof/dp/B0CLCTJDFX/,https://m.media-amazon.com/images/I/61l5PLH1yVL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCTJDFX&ref_=dp_merchant_link
B0CLCR6JWT,2,Mosaic Modern Art Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCR6JWT/,https://m.media-amazon.com/images/I/61ik1-4F+3L.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCR6JWT&ref_=dp_merchant_link
B0CLCRLJ2W,2,Retro Baseball Sport Laptop Bag for Women Men Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Baseball-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCRLJ2W/,https://m.media-amazon.com/images/I/61LNFwDdA0L.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCRLJ2W&ref_=dp_merchant_link
B0CLD1JP2Q,2,Regular Daisy Flower Laptop Bag for Women Men Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Briefcase-Messenger-Waterproof-Carrying-Notebook/dp/B0CLD1JP2Q/,https://m.media-amazon.com/images/I/61Mn6L4jKEL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLD1JP2Q&ref_=dp_merchant_link
B0CLCZ6BYQ,2,Light Pink Yellow Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCZ6BYQ/,https://m.media-amazon.com/images/I/51RJa0UxDsL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCZ6BYQ&ref_=dp_merchant_link
B0CLCRKR6T,2,Red Winter Landscape Houses Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 15.6 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Landscape-Shoulder-Briefcase-Messenger-Waterproof/dp/B0CLCRKR6T/,https://m.media-amazon.com/images/I/51ndBW1KmpL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCRKR6T&ref_=dp_merchant_link
B0CLCSXJV1,2,Leopard Zebra Print Red Black Stripes Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,,22.99,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCSXJV1/,https://m.media-amazon.com/images/I/610sJk2Ya9L.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCSXJV1&ref_=dp_merchant_link
B0CLCXBDCV,2,Cactus Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 15.6 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCXBDCV/,https://m.media-amazon.com/images/I/619R157cJHL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCXBDCV&ref_=dp_merchant_link
B0CLCT61JY,2,Camels Arid Desert Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCT61JY/,https://m.media-amazon.com/images/I/61dfE+vjm-L.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCT61JY&ref_=dp_merchant_link
B0CLCV6CZD,2,Skull Print Laptop Bag for Women Men Waterproof Laptop Shoulder Bag Business Briefcase 15.6 Inch Computer Messenger Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Waterproof-Shoulder-Business-Briefcase-Messenger/dp/B0CLCV6CZD/,https://m.media-amazon.com/images/I/61Oj2Ye4szL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCV6CZD&ref_=dp_merchant_link
B0CM2WHBXL,2,Blue Pink Leaf Laptop Bag for Men Women 13-15 Inch Case Bags Sleeve Shoulder with Anti Slip Removable The Pad Straps,, ,,,,,,,,,https://www.amazon.com/Laptop-Sleeve-Shoulder-Removable-15x1x11inches/dp/B0CM2WHBXL/,https://m.media-amazon.com/images/I/51TMuh6ekML.jpg,Axjgxq,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A13UUJ6Y8XO000&asin=B0CM2WHBXL&ref_=dp_merchant_link
B0CM2VSSXK,2,Prairie Animal Laptop Bag for Men Women 13-15 Inch Case Bags Sleeve Shoulder with Anti Slip Removable The Pad Straps,, ,,,,,,,,,https://www.amazon.com/Purple-Laptop-Shoulder-Removable-15x1x11inches/dp/B0CM2VSSXK/,https://m.media-amazon.com/images/I/616B3G5CXuL.jpg,Axjgxq,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A13UUJ6Y8XO000&asin=B0CM2VSSXK&ref_=dp_merchant_link
B0CM2XCRVS,2,Panda Koala Laptop Bag for Men Women 13-15 Inch Case Bags Sleeve Shoulder with Anti Slip Removable The Pad Straps,,25.99,,,,,,,,,https://www.amazon.com/Purple-Leopard-Shoulder-Removable-15x1x11inches/dp/B0CM2XCRVS/,https://m.media-amazon.com/images/I/61yZNopD-zL.jpg,Axjgxq,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A13UUJ6Y8XO000&asin=B0CM2XCRVS&ref_=dp_merchant_link
B0CM2T77GJ,2,Sunflower Stripe Laptop Bag for Men Women 13-15 Inch Case Bags Sleeve Shoulder with Anti Slip Removable The Pad Straps,, ,,,,,,,,,https://www.amazon.com/Flamingo-Laptop-Shoulder-Removable-15x1x11inches/dp/B0CM2T77GJ/,https://m.media-amazon.com/images/I/61IbHUSWrGL.jpg,Axjgxq,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A13UUJ6Y8XO000&asin=B0CM2T77GJ&ref_=dp_merchant_link
B0CLCX7TNH,2,Math Ruler Doodles Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Shoulder-Briefcase-Messenger-Waterproof-Carrying/dp/B0CLCX7TNH/,https://m.media-amazon.com/images/I/61YrwugtRKL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCX7TNH&ref_=dp_merchant_link
