product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B00260V9HA,,,,,,,,,,,,,,,,,"
                                    "
B00260TWA6,,,,,,,,,,,,,,,,,"
                                    "
B0021UYHF6,,,,,,,,,,,,,,,,,"
                                    "
B00254DA4W,,,,,,,,,,,,,,,,,Delivery
B0026OJK2W,,,,,,,,,,,,,,,,,"
                                    "
B00281O2EY,,,,,,,,,,,,,,,,,"
                                    "
B0026SDEFM,,,,,,,,,,,,,,,,,"
                                    "
B0026ICM1E,,,,,,,,,,,,,,,,,"Uniball Kuru Toga Elite Mechanical Pencil Starter Kit with Silver Barrel and 0.5mm Tip, 60 Lead Refills, and 5 Pencil Eraser Refills, HB #2, Office Supplies, School Supplies, Drafting"
B002BBBTLU,,,,,,,,,,,,,,,,,"
                                    "
B002C2KH1G,,,,,,,,,,,,,,,,,"
                                    "
B002C2PAEA,,,,,,,,,,,,,,,,,"
                                    "
B002C2M3EU,,,,,,,,,,,,,,,,,"
                                    "
B002C2PAHC,,,,,,,,,,,,,,,,,"
                                    "
B002DEW2WA,,,,,,,,,,,,,,,,,"
                                    "
B002BFH68Q,,,,,,,,,,,,,,,,,"
                                    "
B002H9W9MY,,,,,,,,,,,,,,,,,"
                                    "
B002HICSEO,,,,,,,,,,,,,,,,,"
                                    "
B002FSZP5A,,,,,,,,,,,,,,,,,"Uni Jetstream -slim & compact 0.5mm, 3 color Ballpoint pen 〈Body Color〉Black, with Pen Ink Refill (Black,Blue,Red) MIYABI stationery store Original gift package (SXE3JSS05.24/SXR-80-05)"
B002K8YWYA,,,,,,,,,,,,,,,,,"
                                    "
B002FYXYJI,,,,,,,,,,,,,,,,,"Uniball Deluxe Rollerball Pen, 3 Black Pens, 0.7mm Fine Point Roller Pens| Office Supplies, Ink Pens, Colored Pens, Fine Point, Smooth Writing Pens, Ballpoint Pens"
B002KIW7WO,,,,,,,,,,,,,,,,,"
                                    "
B002KOPUOU,,,,,,,,,,,,,,,,,"
                                    "
B002K90G9E,,,,,,,,,,,,,,,,,"
                                    "
B002SAH6F2,,,,,,,,,,,,,,,,,"
                                    "
B002S5382C,,,,,,,,,,,,,,,,,$8.42
B002OL2OJ8,,,,,,,,,,,,,,,,,Uni-Ball EYE UB-157 Rollerball Pen 0.7mm Ball [Pack of 10] One of each colour
B002S5382W,,,,,,,,,,,,,,,,,"
                                    "
B002SA7QGQ,,,,,,,,,,,,,,,,,"
                                    "
B002S537TG,,,,,,,,,,,,,,,,,"Uniball Signo 207 Gel Pen 4 Pack, 0.7mm Medium Black Pens, Gel Ink Pens | Office Supplies Sold by Uniball are Pens, Ballpoint Pen, Colored Pens, Gel Pens, Fine Point, Smooth Writing Pens"
B002S537ZK,,,,,,,,,,,,,,,,,"Uni-Ball Jetstream Rollerball Pen, 1.0mm, Bold Point, 6-Count (Blue, Bold)"
B002S5383G,,,,,,,,,,,,,,,,,"Uniball Vision Elite BLX Rollerball Pens, Blue/Black Pens Pack of 5, Bold Pens with 0.8mm Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B002U0MVVE,,,,,,,,,,,,,,,,,"
                                    "
B002U3K6F4,,,,,,,,,,,,,,,,,"
                                    "
B002TDKM72,,,,,,,,,,,,,,,,,"Uni-ball Signo Broad UM-153 Gel Ink Pen, 7 colors set (Japan Import) [Komainu-Dou Original Package]"
B002V5S1N0,,,,,,,,,,,,,,,,,"Uniball Vision Elite BLX Rollerball Pens, Blue/Black Pens Pack of 5, Bold Pens with 0.8mm Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B002U0QN5Y,,,,,,,,,,,,,,,,,"
                                    "
B002VCWTWC,,,,,,,,,,,,,,,,,Delivery
B002XK006Y,,,,,,,,,,,,,,,,,"
                                    "
B002YM3LUS,,,,,,,,,,,,,,,,,"
                                    "
B002XJNKAS,,,,,,,,,,,,,,,,,"Uniball Onyx Rollerball Stick Pen 12 Pack, 0.5mm Micro Black Pens, Gel Ink Pens | Office Supplies, Pens, Ballpoint Pen, Colored Pens, Gel Pens, Fine Point, Smooth Writing Pens"
B002ZZ7QX2,,,,,,,,,,,,,,,,,"
                                    "
B002ZZ7QYG,,,,,,,,,,,,,,,,,"
                                    "
B002ZZ5KQ2,,,,,,,,,,,,,,,,,"
                                    "
